horizon_years,horizon_days,bin,n,n_events_by_horizon,mean_predicted_risk,km_observed_risk,km_lo,km_hi
1.0,365,overall,371,34,0.10052789622235322,0.10414292401239011,0.07547247331464091,0.14283294628080656
1.0,365,Q1,75,5,0.04841592761407186,0.07111357619012781,0.030215188698079376,0.16252833453643645
1.0,365,Q2,74,5,0.07587929232046615,0.07426303854875305,0.03154609738832992,0.1695280265239396
1.0,365,Q3,74,4,0.09741999649213724,0.06371110121110124,0.024218223341337164,0.16202746895182207
1.0,365,Q4,74,9,0.11916715267141559,0.14663121338904372,0.07871717081383156,0.26409813067850896
1.0,365,Q5,74,11,0.16246132780567907,0.16470622493315534,0.09459861606720765,0.27814375412178527
2.0,730,overall,371,46,0.14019202685129056,0.15218226729249074,0.1157574912580458,0.1987152019385554
2.0,730,Q1,75,5,0.06855970855563352,0.07111357619012781,0.030215188698079376,0.16252833453643645
2.0,730,Q2,74,8,0.10684150785773235,0.1302643506382145,0.06684913574453422,0.24537227105325543
2.0,730,Q3,74,8,0.1365026910692138,0.1493919668327096,0.07647641159777452,0.2804076012715079
2.0,730,Q4,74,13,0.16613878764088058,0.24266141099784433,0.14560800002035168,0.3879355133679825
2.0,730,Q5,74,12,0.22388544343428526,0.18413166156261673,0.10850308832999866,0.3027244192124292
5.0,1825,overall,371,54,0.20998857212933844,0.1995641722939382,0.15395005486617874,0.256505795625972
5.0,1825,Q1,75,7,0.10562314501968313,0.11107984785286917,0.0538341125481836,0.22162437373651533
5.0,1825,Q2,74,9,0.16285695702525665,0.16132633811542108,0.08458422992070791,0.29547703820870463
5.0,1825,Q3,74,9,0.20618161503104376,0.20255496890566527,0.10092428775897466,0.3821733196977827
5.0,1825,Q4,74,15,0.248623574687116,0.306002456623479,0.19078312071458448,0.4675864238882921
5.0,1825,Q5,74,14,0.3280679124931827,0.252120689765732,0.14853657578688317,0.4083668353424025
